Player,Team,Pos_Y,adp_rank,yahoo_name,yahoo_team,match
Nathan MacKinnon,COL,C,2,Nathan MacKinnon,COL,exact
Evan Bouchard,EDM,D,15,Evan Bouchard,EDM,exact
Cale Makar,COL,D,6,Cale Makar,COL,exact
Connor McDavid,EDM,C,1,Connor McDavid,EDM,exact
Nick Suzuki,MTL,C,12,Nick Suzuki,MTL,exact
Nikita Kucherov,T.B,RW,3,Nikita Kucherov,TB,exact
Jack Eichel,VGK,C,22,Jack Eichel,VGK,exact
Sebastian Aho,CAR,C,70,Sebastian Aho,CAR,exact
Quinn Hughes,MIN,D,11,Quinn Hughes,MIN,exact
Zach Werenski,CBJ,D,13,Zach Werenski,CBJ,exact
Moritz Seider,DET,D,52,Moritz Seider,DET,exact
Rasmus Dahlin,BUF,D,34,Rasmus Dahlin,BUF,exact
Leon Draisaitl,EDM,"C,LW",5,Leon Draisaitl,EDM,exact
Macklin Celebrini,S.J,C,4,Macklin Celebrini,SJ,exact
Aleksander Barkov,FLA,C,57,Aleksander Barkov,FLA,exact
Brandon Hagel,T.B,"LW,RW",37,Brandon Hagel,TB,exact
Tom Wilson,WSH,RW,130,Tom Wilson,WSH,exact
Lane Hutson,MTL,D,20,Lane Hutson,MTL,exact
Matt Boldy,MIN,"LW,RW",21,Matt Boldy,MIN,exact
Nico Hischier,N.J,C,134,Nico Hischier,NJ,exact
Auston Matthews,TOR,C,16,Auston Matthews,TOR,exact
Vincent Trocheck,UTA,C,165,Vincent Trocheck,UTA,exact
Jake Guentzel,T.B,"LW,RW",31,Jake Guentzel,TB,exact
Jakob Chychrun,WSH,D,49,Jakob Chychrun,WSH,exact
Tim Stutzle,OTT,"C,LW",46,Tim Stutzle,OTT,exact
David Pastrnak,BOS,RW,7,David Pastrnak,BOS,exact
Wyatt Johnston,DAL,"C,RW",18,Wyatt Johnston,DAL,exact
Jake Sanderson,OTT,D,62,Jake Sanderson,OTT,exact
Alex Tuch,WSH,"LW,RW",89,Alex Tuch,WSH,exact
Jason Robertson,DAL,"LW,RW",9,Jason Robertson,DAL,exact
Mark Scheifele,WPG,C,35,Mark Scheifele,WPG,exact
Mitch Marner,VGK,"C,LW,RW",42,Mitch Marner,VGK,exact
Seth Jarvis,CAR,"LW,RW",123,Seth Jarvis,CAR,exact
Adrian Kempe,L.A,RW,54,Adrian Kempe,LA,exact
Charlie McAvoy,BOS,D,97,Charlie McAvoy,BOS,exact
Sam Reinhart,FLA,RW,45,Sam Reinhart,FLA,exact
Mikhail Sergachev,UTA,D,86,Mikhail Sergachev,UTA,exact
Dylan Larkin,DET,C,87,Dylan Larkin,DET,exact
Robert Thomas,STL,C,72,Robert Thomas,STL,exact
Brock Faber,MIN,D,77,Brock Faber,MIN,exact
Martin Necas,COL,RW,14,Martin Necas,COL,exact
Mikko Rantanen,DAL,"LW,RW",25,Mikko Rantanen,DAL,exact
Miro Heiskanen,DAL,D,66,Miro Heiskanen,DAL,exact
Brady Tkachuk,FLA,"C,LW",24,Brady Tkachuk,FLA,exact
Kirill Kaprizov,MIN,LW,8,Kirill Kaprizov,MIN,exact
Mika Zibanejad,NYR,"C,RW",84,Mika Zibanejad,NYR,exact
Bo Horvat,NYI,C,132,Bo Horvat,NYI,exact
J.T. Miller,NYR,"C,LW,RW",113,J.T. Miller,NYR,exact
Joel Eriksson Ek,MIN,C,224,Joel Eriksson Ek,MIN,exact
Jackson Lacombe,ANA,D,76,Jackson LaCombe,ANA,normalized
Adam Fox,NYR,D,56,Adam Fox,NYR,exact
Anthony Cirelli,T.B,C,213,Anthony Cirelli,TB,exact
Noah Dobson,MTL,D,93,Noah Dobson,MTL,exact
Tage Thompson,BUF,"C,RW",27,Tage Thompson,BUF,exact
Quinton Byfield,L.A,C,204,Quinton Byfield,LA,exact
Matthew Schaefer,NYI,D,30,Matthew Schaefer,NYI,exact
MacKenzie Weegar,UTA,D,110,MacKenzie Weegar,UTA,exact
Anton Lundell,FLA,C,275,Anton Lundell,FLA,exact
Josh Morrissey,WPG,D,79,Josh Morrissey,WPG,exact
Kyle Connor,WPG,LW,28,Kyle Connor,WPG,exact
Juraj Slafkovsky,MTL,"LW,RW",50,Juraj Slafkovský,MTL,normalized
Mattias Samuelsson,BUF,D,140,Mattias Samuelsson,BUF,exact
Sidney Crosby,PIT,C,51,Sidney Crosby,PIT,exact
Brock Nelson,COL,C,160,Brock Nelson,COL,exact
Cole Caufield,MTL,"LW,RW",17,Cole Caufield,MTL,exact
Darren Raddysh,TOR,D,48,Darren Raddysh,TOR,exact
Travis Konecny,PHI,"LW,RW",137,Travis Konecny,PHI,exact
Connor Bedard,CHI,"C,RW",61,Connor Bedard,CHI,exact
Elias Pettersson,VAN,C,208,Elias Pettersson,VAN,exact
Alex Laferriere,L.A,"C,LW,RW",260,Alex Laferriere,LA,exact
Ryan O'Reilly,NSH,C,252,Ryan O'Reilly,NSH,exact
Rasmus Andersson,VGK,D,107,Rasmus Andersson,VGK,exact
Dylan Cozens,OTT,C,238,Dylan Cozens,OTT,exact
Filip Forsberg,NSH,LW,55,Filip Forsberg,NSH,exact
Leo Carlsson,ANA,C,44,Leo Carlsson,ANA,exact
Nick Schmaltz,UTA,"C,RW",94,Nick Schmaltz,UTA,exact
Clayton Keller,UTA,"LW,RW",43,Clayton Keller,UTA,exact
Sam Bennett,FLA,C,206,Sam Bennett,FLA,exact
Will Cuylle,NYR,"LW,RW",296,Will Cuylle,NYR,exact
Adam Fantilli,-,C,98,Adam Fantilli,CBJ,exact
Jack Hughes,N.J,"C,LW",19,Jack Hughes,NJ,exact
Travis Sanheim,PHI,D,240,Travis Sanheim,PHI,exact
Brandt Clarke,L.A,D,103,Brandt Clarke,LA,exact
Shane Pinto,OTT,C,292,Shane Pinto,OTT,exact
Bowen Byram,CHI,D,111,Bowen Byram,CHI,exact
Erik Karlsson,PIT,D,69,Erik Karlsson,PIT,exact
Artemi Panarin,L.A,LW,47,Artemi Panarin,LA,exact
Thomas Harley,DAL,D,112,Thomas Harley,DAL,exact
Filip Hronek,VAN,D,232,Filip Hronek,VAN,exact
Janis Moser,T.B,D,192,J.J. Moser,TB,lastname+team (first name differs)
Alex Debrincat,DET,"LW,RW",38,Alex DeBrincat,DET,normalized
John Carlson,T.B,D,80,John Carlson,TB,exact
Dylan Strome,WSH,C,245,Dylan Strome,WSH,exact
Ryan McLeod,BUF,C,384,Ryan McLeod,BUF,exact
Lucas Raymond,DET,RW,68,Lucas Raymond,DET,exact
Simon Edvinsson,-,D,195,Simon Edvinsson,DET,exact
Nikita Zadorov,BOS,D,298,Nikita Zadorov,BOS,exact
Kirill Marchenko,CBJ,RW,60,Kirill Marchenko,CBJ,exact
Andrei Svechnikov,CAR,"LW,RW",116,Andrei Svechnikov,CAR,exact
Jesper Bratt,N.J,"LW,RW",73,Jesper Bratt,NJ,exact
K'Andre Miller,CAR,D,193,K'Andre Miller,CAR,exact
Jack McBain,UTA,"C,LW",367,Jack McBain,UTA,exact
Mathew Barzal,NYI,"C,RW",218,Mathew Barzal,NYI,exact
Roman Josi,NSH,D,74,Roman Josi,NSH,exact
Matty Beniers,SEA,C,289,Matty Beniers,SEA,exact
Darnell Nurse,S.J,D,203,Darnell Nurse,SJ,exact
Roope Hintz,DAL,C,121,Roope Hintz,DAL,exact
Cutter Gauthier,-,"C,LW,RW",33,Cutter Gauthier,ANA,exact
