Player,Pos,Pos_Y,Season,Team,ADP,Fantrax Rank,GP,ATOI,G,A,Pts,SOG,BLK,HIT,FW,PIM,+/-,PPP,SHP,GS,W,SV,SV%,GA,GAA,FPV-z,FPV-z Adj,Pos Rank
Nathan MacKinnon,F,C,26-27,COL,1.4,1,84,21.9,50,81,131,377,44,47,706,31,58,48,0,0,0,0,0,0,0,31.9,31.3,1
Evan Bouchard,D,D,26-27,EDM,15.8,10,84,24.7,22,75,97,265,116,25,0,34,45,37,1,0,0,0,0,0,0,22.2,29.8,1
Cale Makar,D,D,26-27,COL,8.6,7,84,24.5,25,68,93,246,142,27,0,18,41,33,1,0,0,0,0,0,0,21,28.8,2
Connor McDavid,F,C,26-27,EDM,1.8,5,81,22.3,44,82,126,296,32,41,514,34,39,44,1,0,0,0,0,0,0,27.5,26.9,2
Nick Suzuki,F,C,26-27,MTL,21.5,6,84,20.4,35,70,105,202,75,52,743,22,41,38,1,0,0,0,0,0,0,24.6,24.9,3
Nikita Kucherov,F,RW,26-27,T.B,3.4,4,81,20.3,46,82,128,280,29,23,0,36,54,47,0,0,0,0,0,0,0,24.4,24.1,4
Jack Eichel,F,C,26-27,VGK,16.1,24,81,21,35,64,99,269,52,22,643,13,43,27,3,0,0,0,0,0,0,24.2,23.9,5
Sebastian Aho,F,C,26-27,CAR,59,60,84,20,35,60,95,204,33,56,660,42,25,27,4,0,0,0,0,0,0,24.6,23.4,6
Quinn Hughes,D,D,26-27,MIN,16.1,77,80,26.3,18,80,98,225,89,0,0,34,4,38,0,0,0,0,0,0,0,15.6,22.5,3
Zach Werenski,D,D,26-27,CBJ,13.9,40,83,26,20,65,85,288,119,13,0,20,4,22,1,0,0,0,0,0,0,15.1,22.3,4
Moritz Seider,D,D,26-27,DET,38.2,17,84,25.3,12,50,62,198,199,164,0,60,7,25,0,0,0,0,0,0,0,17.1,22.2,5
Rasmus Dahlin,D,D,26-27,BUF,21.6,37,83,24.3,19,58,77,236,109,88,0,68,18,22,0,0,0,0,0,0,0,16.2,22.1,6
Leon Draisaitl,F,"C,LW",26-27,EDM,5.2,18,78,21,41,68,109,223,22,25,677,36,37,35,0,0,0,0,0,0,0,22.6,21.8,7
Macklin Celebrini,F,C,26-27,S.J,3.9,12,84,20.9,42,64,106,296,62,48,623,41,-4,32,0,0,0,0,0,0,0,20.6,21,8
Aleksander Barkov,F,C,26-27,FLA,52.8,50,76,19.5,22,59,81,166,58,74,662,15,26,28,3,0,0,0,0,0,0,20.9,20.6,9
Brandon Hagel,F,"LW,RW",26-27,T.B,41.8,54,84,19.9,36,51,87,230,56,40,20,67,49,11,3,0,0,0,0,0,0,20,20.6,10
